datos,familia,exp,test_AP50,test_AP,test_AP_s,params_M,tiempo_h
taco_1cls,FRCNN,A1,0.44604483406383044,0.30062285602615274,0.058534652263156836,41.3,0.33
taco_1cls,YOLO,F1,0.4418453320401657,0.31779493045866025,0.05633777960514531,2.6,2.31
taco_6cls,FRCNN,B6,0.2457064077478335,0.15355604437687823,0.028627513914864507,41.3,0.32
taco_6cls,YOLO,G1,0.1565902418,,,2.6,0.23
taco_5cls,FRCNN,B5,0.24414906657597832,0.1554918435851612,0.02447462465809736,41.3,0.29
taco_5cls,YOLO,G2,0.1921777945,,,2.6,0.35
rolid_video_1cls,FRCNN,C,0.7074953515694352,0.2766705373260863,0.2811710409715059,41.3,1.12
rolid_video_1cls,YOLO,F2,0.6953694684778347,0.27883919513355176,0.27892938155755964,2.6,1.73
