,taco,rolid,uav
taco,0.4418453320401657,0.001953740571068273,0.5266442375755815
rolid,0.0010322533051602128,0.6953694684778347,0.0635375604711089
uav,0.10598391190184497,0.0060387638773701,0.7792209783095725
